true,pred,lower,upper
-0.8326123,-0.90405357,-1.9185891777276993,-0.1824257075786592
-0.69632924,-0.7399875,-2.127190923690796,0.9772519469261168
-0.816534,-0.25007436,-0.8877104103565215,0.6218055635690682
-0.63220745,-0.68593717,-1.89494246840477,1.0475998580455763
-0.32758048,-0.3787554,-1.5107165992259979,1.2425068467855434
-1.2334224,-0.70629567,-1.384520784020424,0.5776970714330657
-0.25541922,-1.0173173,-2.6753017485141752,-0.07301997840404559
-0.43974575,-0.87018967,-1.8168488681316375,1.1361705034971223
-0.6001466,-0.6309506,-1.7875728130340576,0.21712223738431924
-0.88869524,-0.8487212,-2.065980100631714,0.1726097986102104
-0.816534,-0.7928681,-1.4598972767591476,-0.1250374376773835
-1.0731176,-0.7730223,-2.021653175354004,0.9995631426572799
-1.1853789,-1.0281621,-1.7252613931894303,-0.001445025205612194
-1.25754,-1.0256581,-2.161335662007332,0.281714859604834
-0.9688955,-1.0730196,-1.7568520486354828,-0.012056617438793715
-0.9287953,-0.91115654,-1.6428432494401932,-0.24756227731704739
-0.72839046,-0.8701878,-1.9698822647333145,0.3365558862686142
-0.84859526,-1.2592183,-2.4702140390872955,-0.4126670017838478
-0.816534,-0.6961854,-1.4379148960113526,0.38063981831073757
-0.8807518,-1.448327,-2.7444026827812196,-0.2994137108325958
-1.121257,-1.040195,-2.12718825340271,0.219457551836967
-0.74446875,-0.69242454,-1.4157901585102082,0.49660134613513873
-1.0249783,-0.8572511,-2.089586526155472,1.5337643742561307
-0.9849737,-1.2551593,-2.1082037925720214,-0.6501202270388604
-1.1452787,-0.6711881,-1.4799617201089859,0.386485227942466
-1.1372396,-0.8281673,-1.701569676399231,-0.2846218213438988
-0.8566344,-1.132779,-3.1584080815315243,0.6947312355041478
-0.80055135,-0.29555416,-1.6376387923955917,1.1170326828956592
-0.319541,-0.47760308,-2.1330377072095867,0.39873286634683597
-0.72839046,-0.6406817,-2.3258657574653627,1.9142696171998965
-0.5760288,-0.7532465,-2.6803303241729735,0.2529532626271239
-0.73642963,-0.31012392,-1.1045896649360656,1.4292060703039164
-0.5760288,-0.8490556,-3.566290163993835,2.3207808434963226
-0.7524122,-0.7653275,-1.5634248018264771,0.4893381536006923
-0.79251224,-0.636895,-1.4577939331531524,0.5437453150749199
-0.9688955,-1.3504946,-5.036454057693481,0.30838670730590745
-1.121257,-1.0185362,-2.9866087496280667,0.5124839276075359
-1.0410565,-1.0066185,-2.3006514132022855,-0.4530804485082626
-1.1612613,-1.2089397,-2.4724460542201996,-0.5166622951626786
-0.88869524,-1.1897547,-2.501561999320984,0.1712650060653661
-0.80055135,-1.2598008,-2.132440370321274,-0.39106284826993953
-0.79251224,-1.03419,-2.2315530121326446,-0.09946700930595481
-1.0089957,-1.1102868,-2.555602306127548,0.49052337110042415
-0.9287953,-0.7952769,-1.8909358859062195,1.142321255803108
-1.193418,-1.058947,-2.170530569553375,-0.34255739971995414
-0.8646735,-1.5555767,-3.6147376537322997,-0.692390875518322
-1.0891958,-1.3600657,-4.0484898567199705,0.4919481575489043
-0.9368346,-1.0581994,-2.74951194524765,0.3159219145774841
-0.84065175,-1.0577745,-1.985213029384613,0.008836084604261663
-0.9608563,-0.5660823,-1.5108555257320404,0.6981939375400523
-0.79251224,-1.1111519,-2.0375229001045225,-0.3897159367799763
-0.8807518,-0.97168005,-2.5224039614200593,0.16519658267497936
-0.5600462,-0.9195708,-1.8569049328565597,0.0658416375517839
-0.43974575,-0.8373363,-2.1770605385303496,-0.07411888688802769
-0.47984615,-0.62190026,-1.7840163558721542,0.7676822215318679
-0.5760288,-1.1460086,-2.5240468323230743,-0.45132802724838283
-0.43180227,-0.99542904,-2.7848062098026274,0.28490228652954097
-0.72035134,-1.3296859,-2.822052425146103,0.0190685361623755
